Cell Line;Collection Date;Created By Name;Experiment #;Freezerworks ID;Globally Unique Sample ID;Lab Member;Notes;Number of Aliquots Total;Number of Aliquots with Positions;Passage Number;Result;Sample Creation Date;Sample Creation Time;Sample Modification Date;Sample Modification Time;Sample Modified By;Sample Type;Source;Subject ID;Total Current Amount;Aliquot Modification Date;Aliquot Modification Time;Aliquot Modified By;Aliquot Notes;Aliquot Number;Aliquot Type;Aliquot/SubA Passage#;Aliquots Creation Date;Current Amount;Disposition;Freezer Alias;Freezer Name;Freezer Section;Globally Unique Aliquot ID;Initial Amount;Lab Member (sub-aliquots);Parent Aliquot ID;Position 1;Position 2;Position 3;Position 4;Position 5;Thaws;Unique Aliquot ID;Transaction Activity;Transaction Creation Date;Transaction Date;Transaction Notes;Transaction Time;Transaction User Name;Sample Notes
MDA MB 134VI (MM134);2/13/2017;admin;;100011;ZZZ100044;Matt Sikora;;21;14;p+36;;2/17/2017;14:34:42;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;Frozen back by EKB on 04.04.19;20;Cells;40;4/9/2019;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100789A;;EKB;100063;1;F;3;8;;0;100789;;;;;;;Continuous maintenance from p+33 (FWID 100000)
MDA MB 134VI (MM134);2/13/2017;admin;;100011;ZZZ100044;Matt Sikora;;21;14;p+36;;2/17/2017;14:34:42;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;Frozen back by EKB on 04.04.19;19;Cells;40;4/9/2019;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100788A;;EKB;100063;1;F;3;7;;0;100788;;;;;;;Continuous maintenance from p+33 (FWID 100000)
SUM44PE;2/16/2017;admin;;100012;ZZZ100045;Matt Sikora;;23;16;p77;;2/17/2017;14:35:49;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;Frozen back by EKB 4-4-19;16;Cells;79;4/9/2019;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100791A;;EKB;100076;4;F;9;4;;0;100791;;;;;;;Originally obtained from Rae Laboratory at U.Michigan (Rae Lab obtained directly from Ethier Lab).
SUM44PE;2/16/2017;admin;;100012;ZZZ100045;Matt Sikora;;23;16;p77;;2/17/2017;14:35:49;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;Frozen back by EKB 4-4-19;17;Cells;79;4/9/2019;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100792A;;EKB;100076;4;F;9;5;;0;100792;;;;;;;Originally obtained from Rae Laboratory at U.Michigan (Rae Lab obtained directly from Ethier Lab).
HCC1428;10/5/2017;drao;;100060;SQZ100060;;;18;9;17;;10/6/2017;08:54:36;;;;;UPMC/MJS;;0;9/4/2019;12:10:09;;Frozen back by EKB 04.04.19 Thawed by EKB on 09.04.19;11;Cells;49;4/9/2019;;Checked Out;;Sikora LN2 #1;LN2 Canes;SQZ100793A;;EKB;100311;1;F;5;1;;0;100793;;;;;;;Fibrosarcoma cell line, high expression of WNT4, brought from Pittsburgh by Dr. Sikora
MDA MB 330 (MM330);4/11/2017;admin;;100037;SQZ100037;Matt Sikora;;10;7;p+5;;4/12/2017;15:33:09;;;;;ATCC;;0;7/23/2019;15:37:22;;Frozen back by EKB 04.04.19 Checked out on 04.29.19;10;Cells;8;4/9/2019;;Used;;;;SQZ100794A;;EKB;100365;;;;;;0;100794;;;;;;;Obtained directly from ATCC (no passage number assigned).
SUM44PE;2/16/2017;admin;;100012;ZZZ100045;Matt Sikora;;23;16;p77;;2/17/2017;14:35:49;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;Frozen back by DMR on 4-26-19.;18;Cells;85;5/1/2019;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100795A;;DMR;100690;1;C;4;5;;0;100795;;;;;;;Originally obtained from Rae Laboratory at U.Michigan (Rae Lab obtained directly from Ethier Lab).
SUM44PE;2/16/2017;admin;;100012;ZZZ100045;Matt Sikora;;23;16;p77;;2/17/2017;14:35:49;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;Frozen back by DMR on 4-26-19.;19;Cells;85;5/1/2019;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100796A;;DMR;100690;1;C;4;6;;0;100796;;;;;;;Originally obtained from Rae Laboratory at U.Michigan (Rae Lab obtained directly from Ethier Lab).
SUM44PE;2/16/2017;admin;;100012;ZZZ100045;Matt Sikora;;23;16;p77;;2/17/2017;14:35:49;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;Frozen back by DMR on 4-26-19.;20;Cells;85;5/1/2019;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100797A;;DMR;100690;1;C;4;7;;0;100797;;;;;;;Originally obtained from Rae Laboratory at U.Michigan (Rae Lab obtained directly from Ethier Lab).
SUM44PE;2/16/2017;admin;;100012;ZZZ100045;Matt Sikora;;23;16;p77;;2/17/2017;14:35:49;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;Frozen back by DMR on 4-26-19.;21;Cells;85;5/1/2019;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100798A;;DMR;100690;1;C;4;8;;0;100798;;;;;;;Originally obtained from Rae Laboratory at U.Michigan (Rae Lab obtained directly from Ethier Lab).
SUM44PE;2/16/2017;admin;;100012;ZZZ100045;Matt Sikora;;23;16;p77;;2/17/2017;14:35:49;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;Frozen back by DMR on 4-26-19.;22;Cells;85;5/1/2019;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100799A;;DMR;100690;1;C;4;9;;0;100799;;;;;;;Originally obtained from Rae Laboratory at U.Michigan (Rae Lab obtained directly from Ethier Lab).
SUM44PE;2/16/2017;admin;;100012;ZZZ100045;Matt Sikora;;23;16;p77;;2/17/2017;14:35:49;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;Frozen back by DMR on 4-26-19.;23;Cells;85;5/1/2019;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100800A;;DMR;100690;1;C;5;1;;0;100800;;;;;;;Originally obtained from Rae Laboratory at U.Michigan (Rae Lab obtained directly from Ethier Lab).
SUM44PE+WNT3A;7/23/2018;drao;;100094;SQZ100094;;;15;14;13;;7/27/2018;11:06:49;;;;;Sikora Lab;;0;00/00/00;00:00:00;;Frozen back by DMR on 4-26-19.;10;Cells;21;5/1/2019;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100801A;;DMR;100694;1;C;5;2;;0;100801;;;;;;;This cell line was made by RF to stably over-express WNT3A. Blasticidin is used for selection.
SUM44PE+WNT3A;7/23/2018;drao;;100094;SQZ100094;;;15;14;13;;7/27/2018;11:06:49;;;;;Sikora Lab;;0;00/00/00;00:00:00;;Frozen back by DMR on 4-26-19.;11;Cells;21;5/1/2019;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100802A;;DMR;100694;1;C;5;3;;0;100802;;;;;;;This cell line was made by RF to stably over-express WNT3A. Blasticidin is used for selection.
SUM44PE+WNT3A;7/23/2018;drao;;100094;SQZ100094;;;15;14;13;;7/27/2018;11:06:49;;;;;Sikora Lab;;0;00/00/00;00:00:00;;Frozen back by DMR on 4-26-19.;12;Cells;21;5/1/2019;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100803A;;DMR;100694;1;C;5;4;;0;100803;;;;;;;This cell line was made by RF to stably over-express WNT3A. Blasticidin is used for selection.
